Neighborhood,Neighborhood_Latitude,Neighborhood_Longitude,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
LOMAS DE CHAPULTEPEC,19.42284112,-99.21579358,Barranca Barrilaco,19.422404331728874,-99.21935435,Park
LOMAS DE CHAPULTEPEC,19.42284112,-99.21579358,Embajada de Ucrania,19.423633411525685,-99.21342286,Monument
LOMAS DE CHAPULTEPEC,19.42284112,-99.21579358,La Guadiana,19.422073107529705,-99.21930566,Restaurant
LOMAS DE CHAPULTEPEC,19.42284112,-99.21579358,La Europea,19.426579566792146,-99.2142541,Liquor Store
LOMAS DE CHAPULTEPEC,19.42284112,-99.21579358,Total Gasolinera,19.42073186322561,-99.21803707,Fuel Station
LOMAS DE CHAPULTEPEC,19.42284112,-99.21579358,Hand Spa,19.42724401975953,-99.21177917,Spa
LOMAS DE CHAPULTEPEC,19.42284112,-99.21579358,Cafe Vida,19.42679042247694,-99.21368601,Coffee Shop
LOMAS DE REFORMA (LOMAS DE CHAPULTEPEC),19.41061589,-99.22624873,Parque del Peru,19.41414170665847,-99.22092325,Park
LOMAS DE REFORMA (LOMAS DE CHAPULTEPEC),19.41061589,-99.22624873,Camellón Reforma Lomas,19.406327,-99.224772,Forest
LOMAS DE REFORMA (LOMAS DE CHAPULTEPEC),19.41061589,-99.22624873,parque via reforma,19.413065667510406,-99.22004985,Park
LOMAS DE REFORMA (LOMAS DE CHAPULTEPEC),19.41061589,-99.22624873,Mercado Tarahumara,19.41419586429193,-99.22602072,Farmers Market
LOMAS DE REFORMA (LOMAS DE CHAPULTEPEC),19.41061589,-99.22624873,Penélope (Tosia Malamud),19.40668487667731,-99.2256085,Scenic Lookout
LOMAS DE REFORMA (LOMAS DE CHAPULTEPEC),19.41061589,-99.22624873,American Benevolent Society,19.4071622,-99.22291959,Bookstore
LOMAS DE REFORMA (LOMAS DE CHAPULTEPEC),19.41061589,-99.22624873,Circuito Lago de Chapultepec,19.414714645401325,-99.22375277,Forest
LOMAS DE REFORMA (LOMAS DE CHAPULTEPEC),19.41061589,-99.22624873,Helipuerto Virreyes,19.40680958772866,-99.22021634,Heliport
DEL BOSQUE (POLANCO),19.43421892,-99.20940375,Gasolinera Palmas Y Periferico,19.431815009118647,-99.20890256,Fuel Station
DEL BOSQUE (POLANCO),19.43421892,-99.20940375,La Pantera Fresca,19.43087479665691,-99.20931136,Ice Cream Parlor
DEL BOSQUE (POLANCO),19.43421892,-99.20940375,San Ginés México,19.431656,-99.209981,Coffee Shop
DEL BOSQUE (POLANCO),19.43421892,-99.20940375,Pasión del Cielo Café,19.430111859828934,-99.21080357,Coffee Shop
DEL BOSQUE (POLANCO),19.43421892,-99.20940375,Tierra Garat,19.433615,-99.212243,Café
DEL BOSQUE (POLANCO),19.43421892,-99.20940375,Restaurant Palominos,19.42977016845628,-99.21113994,Steakhouse
DEL BOSQUE (POLANCO),19.43421892,-99.20940375,Tierra Garat Palmas,19.429157359438275,-99.21127832,Café
DEL BOSQUE (POLANCO),19.43421892,-99.20940375,El Bajío,19.43011434965319,-99.21102894,Mexican Restaurant
PEDREGAL DE SANTA URSULA I,19.31486224,-99.14779545,Taqueria El Super,19.31638351128988,-99.15038636,Mexican Restaurant
PEDREGAL DE SANTA URSULA I,19.31486224,-99.14779545,Cassat,19.318539883519087,-99.14370487,Spanish Restaurant
PEDREGAL DE SANTA URSULA I,19.31486224,-99.14779545,Salón Grill,19.315717697143555,-99.14868164,BBQ Joint
AJUSCO I,19.32457112,-99.15616022,Tacos La Bola,19.323833388815835,-99.15697358,Taco Restaurant
CENTRO II,19.42571443,-99.12265977,Taqueria Los Paisas,19.426869112883246,-99.12885037,Taco Restaurant
CENTRO II,19.42571443,-99.12265977,Café Tierra De Las Flores,19.42584598,-99.12343961,Coffee Shop
VALENTIN GOMEZ FARIAS,19.41618441,-99.09357531,The City Express,19.414543561964315,-99.09362261,American Restaurant
VALENTIN GOMEZ FARIAS,19.41618441,-99.09357531,Little Caesars Pizza,19.414127417677644,-99.0933676,Pizzeria
VALENTIN GOMEZ FARIAS,19.41618441,-99.09357531,Las Alitas de la Av.8,19.413916715473093,-99.09332013,BBQ Joint
VALENTIN GOMEZ FARIAS,19.41618441,-99.09357531,Benato's Pizzas,19.41586304055726,-99.09585345,Pizzeria
VALENTIN GOMEZ FARIAS,19.41618441,-99.09357531,Lemon Grill,19.41611002694349,-99.09654965,Bar
VALENTIN GOMEZ FARIAS,19.41618441,-99.09357531,Mi Parrilla Country,19.414128,-99.092711,Restaurant
